Number,Block,Plot,Trt,BBCH_5,Height_AVG_5,SPAD_AVG_5,LAI_5
1,A,01A,3,59,200,36.43,4.01
2,A,02A,9A,61,179.3,30.07,2.5
3,A,02B,9B,55,145.7,17.97,2.66
4,A,03A,10A,59,156.7,21.7,3.37
5,A,03B,10B,53,127.7,20.8,4.23
6,A,04A,6,61,185,30.23,NA
7,A,05A,1A,63,165.7,24.93,3.63
8,A,05B,1B,63,139.3,19.17,2.68
9,A,06A,18A,59,200,28.4,NA
10,A,06B,18B,63,194.3,27.17,NA
11,A,07A,5,53,189,25.83,NA
12,A,08A,8,53,134,30.6,2.26
13,A,09A,7,53,133.3,30.2,1.54
14,A,10A,2A,65,193,33.33,5.41
15,A,10B,2B,63,114.3,21,3.88
16,A,11A,4,59,207.7,32.07,NA
17,A,12A,19,51,88.7,23.5,NA
18,A,13A,17A,61,169.3,28.17,NA
19,A,13B,17B,63,197,32.67,NA
20,A,14A,14,51,157,31.57,NA
21,A,15A,20,33,79.3,21.2,NA
22,A,16A,13,51,158.7,34.47,NA
23,A,17A,12A,59,164.7,24.27,2.95
24,A,17B,12B,55,183.3,25.8,2.5
25,A,18A,15A,59,126.3,22,NA
26,A,18B,15B,55,134,23.77,NA
27,A,19A,11A,61,178.7,27.4,2.38
28,A,19B,11B,61,195,29.43,2.49
29,A,20A,16A,59,153.7,26.83,NA
30,A,20B,16B,61,131.7,23.8,NA
